Date,Day,Day,Period,Location,Approx Time,People in Room,Obstructions,Comments
2020/10/19,Mon,d98,p03,bg,5:00-5:15pm,1 on Table 1,Closed door,On top of Table 1 cabinet
2020/10/19,Mon,d98,p04,bg,5:15-5:30pm,1 on Table 1,Closed door,On top of desktop PC
2020/10/19,Mon,d98,p05,bg,8:00-8:15pm,1 on Table 1,Closed door,On top of Table 5 cabinet
2020/10/19,Mon,d98,p06,bg,8:15-8:30pm,1 on Table 1,Closed door,On top of Table 1
2020/10/19,Mon,d98,p07,bg,8:30-8:45pm,1 on Table 1,Closed door,On top of Table 1
2020/10/20,Tue,d98,p08,bg,3:00-3:10pm,1 on Table 1,Closed door,Center of loc01-04
2020/10/20,Tue,d98,p09,bg,3:10-3:20pm,1 on Table 1,Closed door,near loc04
2020/10/20,Tue,d98,p10,bg,3:20-3:30pm,1 on Table 1,Closed door,On the floor near Table 1
2020/10/20,Tue,d98,p11,bg,3:30-3:40pm,1 on Table 1,Closed door,On the Table 1 cabinet
2020/10/20,Tue,d98,p12,bg,3:40-3:45pm,1 on Table 1,Closed door,On top of Table 1 cabinet
2020/10/20,Tue,d98,p13,bg,3:45-3:50pm,1 on Table 1,Closed door,On top of Table 1
2020/10/20,Tue,d98,p14,bg,3:50-3:55pm,1 on Table 1,Closed door,near loc03
2020/10/20,Tue,d98,p15,bg,3:55-4:00pm,1 on Table 1,Closed door,On top of desktop PC
2020/10/20,Tue,d98,p16,bg,6:00-6:45pm,1 on Table 1,Closed door,on loc04
2020/10/22,Thu,d98,p17,bg,6:30-6:40pm,1 on Table 1,Closed door,near loc02
2020/10/22,Thu,d98,p18,bg,6:40-6:50pm,1 on Table 1,Closed door,near loc04
2020/10/22,Thu,d98,p19,bg,6:50-7:00pm,1 on Table 1,Closed door,near Desktop PC mouse
2020/10/22,Thu,d98,p20,bg,7:00-7:10pm,1 on Table 1,Closed door,On top of desktop PC
2020/10/23,Fri,d98,p21,bg,8:00-8:10pm,1 on Table 1,Closed door,near loc01
2020/10/23,Fri,d98,p22,bg,8:10-8:20pm,1 on Table 1,Closed door,near loc02
2020/10/30,Fri,d98,p23,bg,6:00-6:15pm,1 on Table 1,Closed door,on loc01
2020/10/30,Fri,d98,p24,bg,6:15-6:30pm,1 on Table 1,Closed door,on loc02
2020/11/02,Mon,d98,p25,bg,5:00-5:10pm,1 on Table 1,Closed door,on loc04
2020/11/02,Mon,d98,p26,bg,5:10-5:20pm,1 on Table 1,Closed door,on loc03
2020/11/02,Mon,d98,p27,bg,5:20-5:30pm,1 on Table 1,Closed door,between loc03-04
2020/11/20,Fri,d99,p01,bg,7:00-7:10pm,2 users on Tables 1 and 3,Closed door,On top of Table 1
2020/11/20,Fri,d99,p02,bg,7:10-7:20pm,2 users on Tables 1 and 3,Closed door,On top of Table 1
2020/12/02,Wed,d99,p03,bg,7:30-7:40pm,2 users on Tables 1 and 3,Closed door,On top of Table 1
2021/01/05,Tue,d99,p04,bg,5:30-5:45pm,2 users on Tables 1 and 3,Closed door,on loc04
-,-,-,-,-,-,-,-,End of background data
